wp,row,col,X,Y,cum_km,slope_deg,elev_m
0,382,272,-68400.00,-71640.00,0.000,0.51,-4752.0
1,387,276,-68320.00,-71740.00,0.576,8.11,-4750.0
2,392,275,-68340.00,-71840.00,1.111,6.16,-4744.0
3,392,281,-68220.00,-71840.00,1.678,5.75,-4747.0
4,402,283,-68180.00,-72040.00,2.213,5.37,-4737.0
5,402,279,-68260.00,-72040.00,2.747,2.95,-4736.0
6,404,274,-68360.00,-72080.00,3.274,2.53,-4725.0
7,393,282,-68200.00,-71860.00,3.816,6.63,-4746.0
8,388,297,-67900.00,-71760.00,4.351,6.05,-4775.0
9,373,288,-68080.00,-71460.00,4.869,5.91,-4791.0
10,382,291,-68020.00,-71640.00,5.420,11.87,-4778.0
11,389,287,-68100.00,-71780.00,5.963,12.60,-4770.0
12,399,288,-68080.00,-71980.00,6.522,11.59,-4752.0
13,409,284,-68160.00,-72180.00,7.074,4.55,-4737.0
14,403,278,-68280.00,-72060.00,7.592,8.11,-4735.0
15,413,288,-68080.00,-72260.00,8.143,5.64,-4745.0
16,405,295,-67940.00,-72100.00,8.702,2.53,-4773.0
17,393,306,-67720.00,-71860.00,9.245,6.16,-4801.0
18,394,303,-67780.00,-71880.00,9.829,8.55,-4795.0
19,400,303,-67780.00,-72000.00,10.364,10.83,-4792.0
20,407,296,-67920.00,-72140.00,10.931,9.95,-4773.0
21,409,309,-67660.00,-72180.00,11.507,6.46,-4807.0
22,406,318,-67480.00,-72120.00,12.092,8.65,-4834.0
23,397,314,-67560.00,-71940.00,12.651,11.23,-4833.0
24,403,320,-67440.00,-72060.00,13.219,12.33,-4847.0
25,407,316,-67520.00,-72140.00,13.786,9.52,-4828.0
26,394,315,-67540.00,-71880.00,14.338,13.39,-4843.0
27,383,312,-67600.00,-71660.00,14.922,10.56,-4847.0
28,379,318,-67480.00,-71580.00,15.473,10.33,-4870.0
29,372,325,-67340.00,-71440.00,16.041,7.57,-4897.0
30,371,323,-67380.00,-71420.00,16.584,9.55,-4896.0
31,375,320,-67440.00,-71500.00,17.143,9.52,-4881.0
32,385,318,-67480.00,-71700.00,17.694,12.49,-4867.0
33,389,319,-67460.00,-71780.00,18.237,18.00,-4866.0
34,404,321,-67420.00,-72080.00,18.796,13.50,-4848.0
35,391,325,-67340.00,-71820.00,19.339,18.60,-4899.0
36,397,331,-67220.00,-71940.00,19.890,1.43,-4919.0
37,395,331,-67220.00,-71900.00,20.441,7.00,-4919.0
38,400,340,-67040.00,-72000.00,21.009,10.28,-4954.0
39,399,349,-66860.00,-71980.00,21.560,7.88,-4987.0
40,405,359,-66660.00,-72100.00,22.078,2.15,-4984.0
41,404,353,-66780.00,-72080.00,22.638,7.05,-4999.0
42,410,360,-66640.00,-72200.00,23.164,10.61,-4981.0
43,416,356,-66720.00,-72320.00,23.715,5.05,-4964.0
44,427,363,-66580.00,-72540.00,24.250,7.26,-4932.0
45,427,368,-66480.00,-72540.00,24.792,6.14,-4918.0
46,423,377,-66300.00,-72460.00,25.368,2.26,-4901.0
47,419,375,-66340.00,-72380.00,25.920,8.29,-4902.0
48,422,389,-66060.00,-72440.00,26.479,5.64,-4928.0
49,430,392,-66000.00,-72600.00,27.022,5.15,-4942.0
50,423,383,-66180.00,-72460.00,27.589,7.21,-4913.0
